shuffled_index,class,filename,stem,trial_type,bucket_trial_index
1,radio,radio/radio_0.304_02750001_2023-07-24_2_32a7677bec_processed_00148.jpg,radio_0.304_02750001_2023-07-24_2_32a7677bec_processed_00148,regular,1
1,hand,hand/hand_0.261_00400001_2023-09-27_1-09_00500.jpg,hand_0.261_00400001_2023-09-27_1-09_00500,regular,2
1,glove,glove/glove_0.335_00400002_2024-01-13_5_a7244bc8ee_00191.jpg,glove_0.335_00400002_2024-01-13_5_a7244bc8ee_00191,regular,3
1,box,box/box_0.322_00340002_2024-09-07_1_30ff93236f_processed_00311.jpg,box_0.322_00340002_2024-09-07_1_30ff93236f_processed_00311,regular,4
1,meat,meat/meat_0.344_00370002_2024-09-10_2_9b2303380b_processed_00664.jpg,meat_0.344_00370002_2024-09-10_2_9b2303380b_processed_00664,regular,5
1,soap,soap/soap_0.387_00560001_2023-09-25_3_12b4da8b23_processed_00177.jpg,soap_0.387_00560001_2023-09-25_3_12b4da8b23_processed_00177,regular,6
1,chair,chair/chair_0.661_01970002_2024-01-24_1_a21769900e_00222.jpg,chair_0.661_01970002_2024-01-24_1_a21769900e_00222,regular,7
1,leg,leg/leg_0.255_00430001_2023-08-18_1_298e0aabe4_processed_00505.jpg,leg_0.255_00430001_2023-08-18_1_298e0aabe4_processed_00505,regular,8
1,pencil,pencil/pencil_0.661_00400003_2024-06-13_3_b5c6f07aba_processed_00139.jpg,pencil_0.661_00400003_2024-06-13_3_b5c6f07aba_processed_00139,regular,9
1,spoon,spoon/spoon_0.493_00400001_2023-09-27_1-09_00617.jpg,spoon_0.493_00400001_2023-09-27_1-09_00617,regular,10
1,ball,ball/ball_0.430_00240001_2024-02-09_4_b8f26dfae5_processed_00062.jpg,ball_0.430_00240001_2024-02-09_4_b8f26dfae5_processed_00062,regular,11
1,oven,oven/oven_0.841_00500001_2023-09-16_4_dd7fe3d060_00138.jpg,oven_0.841_00500001_2023-09-16_4_dd7fe3d060_00138,regular,12
1,alligator,alligator/alligator_0.460_01970002_2023-08-02_1_3dc0082129_processed_00225.jpg,alligator_0.460_01970002_2023-08-02_1_3dc0082129_processed_00225,regular,13
1,arm,arm/arm_0.282_01740001_2024-07-15_1_16a674074f_processed_00437.jpg,arm_0.282_01740001_2024-07-15_1_16a674074f_processed_00437,regular,15
1,giraffe,giraffe/giraffe_0.311_00220001_2024-12-07_3_424af3e719_processed_00177.jpg,giraffe_0.311_00220001_2024-12-07_3_424af3e719_processed_00177,regular,16
1,drawer,drawer/drawer_0.390_00440001_2024-04-07_2_dd0f6233cc_00522.jpg,drawer_0.390_00440001_2024-04-07_2_dd0f6233cc_00522,regular,17
1,crayon,crayon/crayon_0.402_02300001_2024-07-19_1_2a16beabc9_00591.jpg,crayon_0.402_02300001_2024-07-19_1_2a16beabc9_00591,regular,18
1,knife,knife/knife_0.578_00400001_2024-09-15_2_91a158a8fc_processed_00480.jpg,knife_0.578_00400001_2024-09-15_2_91a158a8fc_processed_00480,regular,19
1,can,can/can_0.948_00550001_2023-11-20_1_c2c236cb64_processed_00565.jpg,can_0.948_00550001_2023-11-20_1_c2c236cb64_processed_00565,regular,20
1,orange,orange/orange_0.371_02950001_2023-08-07_1_992371427d_processed_00043.jpg,orange_0.371_02950001_2023-08-07_1_992371427d_processed_00043,regular,21
1,clock,clock/clock_0.412_00320002_2024-11-24_2_7ffd348807_processed_00275.jpg,clock_0.412_00320002_2024-11-24_2_7ffd348807_processed_00275,regular,22
1,chips,chips/chips_0.294_02390001_2023-07-26_2_ab12ad3e2e_processed_00382.jpg,chips_0.294_02390001_2023-07-26_2_ab12ad3e2e_processed_00382,regular,24
1,sweater,sweater/sweater_0.326_00320001_2023-12-29_1_d009f09c59_processed_00615.jpg,sweater_0.326_00320001_2023-12-29_1_d009f09c59_processed_00615,regular,25
1,pajamas,pajamas/pajamas_0.334_00350002_2024-12-11_1_046b221fe4_processed_00355.jpg,pajamas_0.334_00350002_2024-12-11_1_046b221fe4_processed_00355,regular,26
1,flower,flower/flower_0.266_00400002_2024-01-13_3_7ca2b2ad65_00145.jpg,flower_0.266_00400002_2024-01-13_3_7ca2b2ad65_00145,regular,27
1,mouth,mouth/mouth_0.273_00360001_2024-09-08_1_4305d7312b_processed_00092.jpg,mouth_0.273_00360001_2024-09-08_1_4305d7312b_processed_00092,regular,28
1,cracker,cracker/cracker_0.371_02390001_2023-07-21_2_67f89a9544_processed_00294.jpg,cracker_0.371_02390001_2023-07-21_2_67f89a9544_processed_00294,regular,29
1,raisin,raisin/raisin_0.471_00400003_2024-04-05_1_2a45553a0c_processed_00748.jpg,raisin_0.471_00400003_2024-04-05_1_2a45553a0c_processed_00748,regular,30
1,dress,dress/dress_0.732_02620001_2023-07-17_1_704494ac32_processed_00522.jpg,dress_0.732_02620001_2023-07-17_1_704494ac32_processed_00522,regular,31
1,motorcycle,motorcycle/motorcycle_0.394_00320003_2024-03-17_1_f9d72fcb51_processed_00647.jpg,motorcycle_0.394_00320003_2024-03-17_1_f9d72fcb51_processed_00647,regular,34
1,hair,hair/hair_0.302_00320003_2024-09-07_2_d04cb61eb5_00269.jpg,hair_0.302_00320003_2024-09-07_2_d04cb61eb5_00269,regular,35
1,bucket,bucket/bucket_0.496_02800002_2023-07-26_2_6594f77280_processed_00341.jpg,bucket_0.496_02800002_2023-07-26_2_6594f77280_processed_00341,regular,37
1,snow,snow/snow_0.495_00510001_2024-06-02_2_60a7565029_processed_00550.jpg,snow_0.495_00510001_2024-06-02_2_60a7565029_processed_00550,regular,38
1,foot,foot/foot_0.269_02740001_2023-07-19_2_c85b6b3224_processed_00051.jpg,foot_0.269_02740001_2023-07-19_2_c85b6b3224_processed_00051,regular,39
1,toast,toast/toast_0.705_01720001_2024-05-20_2_a01c16133b_processed_00233.jpg,toast_0.705_01720001_2024-05-20_2_a01c16133b_processed_00233,regular,40
1,tray,tray/tray_0.269_2023_2_d97cba3851_processed_00358.jpg,tray_0.269_2023_2_d97cba3851_processed_00358,regular,41
1,spoon,spoon/spoon_0.454_00400001_2023-09-27_1-09_00588.jpg,spoon_0.454_00400001_2023-09-27_1-09_00588,regular,42
1,tooth,tooth/tooth_0.320_00420001_2024-06-28_2_5a12149a50_processed_00572.jpg,tooth_0.320_00420001_2024-06-28_2_5a12149a50_processed_00572,regular,43
1,tape,tape/tape_0.511_02300001_2024-07-19_1_2a16beabc9_00338.jpg,tape_0.511_02300001_2024-07-19_1_2a16beabc9_00338,regular,44
1,rooster,rooster/rooster_0.805_00720001_2024-02-03_2_61b6d934b9_processed_00513.jpg,rooster_0.805_00720001_2024-02-03_2_61b6d934b9_processed_00513,regular,45
1,soap,soap/soap_0.643_00490001_2024-04-30_1_0ea2400874_processed_00719.jpg,soap_0.643_00490001_2024-04-30_1_0ea2400874_processed_00719,regular,46
1,cat,cat/cat_0.832_00680001_2023-05-13_3_1858c08f1f_processed_00488.jpg,cat_0.832_00680001_2023-05-13_3_1858c08f1f_processed_00488,regular,47
